LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.847388,-0.577948,0.681084,182007,2015-07-06 12:36:44:842
0.403112,0.428259,-0.424368,182507,2015-07-06 12:36:45:342
0.905168,0.107926,0.955014,183007,2015-07-06 12:36:45:842
-0.997825,1.263972,-1.50E-04,183507,2015-07-06 12:36:46:342
-0.197589,-0.899629,0.24983,184006,2015-07-06 12:36:46:841
0.405656,0.237107,-1.287622,184507,2015-07-06 12:36:47:342
0.174088,-0.553399,0.41374,185007,2015-07-06 12:36:47:842
-0.69231,0.513283,-0.748593,185507,2015-07-06 12:36:48:342
-0.965941,-0.672252,-0.149988,186007,2015-07-06 12:36:48:842
0.264949,0.424817,-0.526306,186507,2015-07-06 12:36:49:342
0.140558,-0.438289,0.277074,187009,2015-07-06 12:36:49:844
0.517025,1.280437,-0.714764,187507,2015-07-06 12:36:50:342
-0.56732,-0.632435,0.17813,188007,2015-07-06 12:36:50:842
-0.261356,-0.331111,-0.790057,188506,2015-07-06 12:36:51:341
0.332608,-0.261207,0.457449,189007,2015-07-06 12:36:51:842
-0.39428,1.685794,-0.418979,189507,2015-07-06 12:36:52:342
-0.170196,-0.522863,0.953218,190012,2015-07-06 12:36:52:847
0.596809,0.268392,-0.238304,190507,2015-07-06 12:36:53:342
-0.207469,-0.541873,0.482596,191007,2015-07-06 12:36:53:842
-0.8417,0.209265,-0.759371,191512,2015-07-06 12:36:54:347
-0.119003,-1.247805,-0.085173,192008,2015-07-06 12:36:54:843
0.29339,-0.697699,-1.062341,192507,2015-07-06 12:36:55:342
0.154329,-0.434995,0.50954,193006,2015-07-06 12:36:55:841
0.359103,1.309178,-1.117875,193507,2015-07-06 12:36:56:342
-0.120799,-0.894689,0.511037,194006,2015-07-06 12:36:56:841
-0.603844,0.289049,0.401315,194516,2015-07-06 12:36:57:351
0.229173,-0.343835,1.096171,195010,2015-07-06 12:36:57:845
